username,following,followers,date
UPR_Asselineau,749,120133,2022-01-17
JaclineMouraud,529,7912,2022-01-17
jeanlassalle,449,67816,2022-01-17
ClaraEgger1,232,800,2022-01-17
AlexLanglois_,160,20266,2022-01-17
AnasseKazib,1629,60538,2022-01-17
HeleneThouy,504,8937,2022-01-17
Vukuzman,1249,18351,2022-01-17
philippejuvin,958,40344,2022-01-17
DenisPayre,1389,25759,2022-01-17
JLMelenchon,4838,2346964,2022-01-18
Fabien_Roussel,505,44683,2022-01-18
yjadot,1460,89114,2022-01-18
EmmanuelMacron,724,7548307,2022-01-18
n_arthaud,1419,22380,2022-01-18
vpecresse,1504,417344,2022-01-18
ZemmourEric,34,343488,2022-01-18
PhilippePoutou,18,200913,2022-01-18
Anne_Hidalgo,16681,1540291,2022-01-18
MLP_officiel,3260,2661206,2022-01-18
dupontaignan,469,290371,2022-01-18
larrouturou,49321,52018,2022-01-18
ChTaubira,392,826927,2022-01-18
Waechter2022,507,321,2022-01-18
f_philippot,878,316824,2022-01-18
antoine27955080,222,9130,2022-01-18
UPR_Asselineau,749,120343,2022-01-18
JaclineMouraud,529,7931,2022-01-18
jeanlassalle,449,67889,2022-01-18
ClaraEgger1,232,803,2022-01-18
AlexLanglois_,160,20271,2022-01-18
AnasseKazib,1630,60633,2022-01-18
HeleneThouy,506,8990,2022-01-18
Vukuzman,1251,18405,2022-01-18
philippejuvin,961,40354,2022-01-18
DenisPayre,1390,25766,2022-01-18
JLMelenchon,4838,2347572,2022-01-19
Fabien_Roussel,505,46587,2022-01-19
yjadot,1460,89312,2022-01-19
EmmanuelMacron,724,7550763,2022-01-19
n_arthaud,1419,22431,2022-01-19
vpecresse,1504,418159,2022-01-19
ZemmourEric,34,343903,2022-01-19
PhilippePoutou,18,201040,2022-01-19
Anne_Hidalgo,16678,1540387,2022-01-19
MLP_officiel,3260,2661700,2022-01-19
dupontaignan,469,290623,2022-01-19
larrouturou,49326,52040,2022-01-19
ChTaubira,393,827323,2022-01-19
Waechter2022,506,326,2022-01-19
f_philippot,877,317283,2022-01-19
antoine27955080,222,9281,2022-01-19
UPR_Asselineau,749,120514,2022-01-19
JaclineMouraud,530,7945,2022-01-19
jeanlassalle,449,67910,2022-01-19
ClaraEgger1,232,809,2022-01-19
AlexLanglois_,160,20270,2022-01-19
AnasseKazib,1632,60682,2022-01-19
HeleneThouy,508,9037,2022-01-19
Vukuzman,1251,18440,2022-01-19
philippejuvin,963,40370,2022-01-19
DenisPayre,1393,25775,2022-01-19
JLMelenchon,4838,2348071,2022-01-20
Fabien_Roussel,505,47365,2022-01-20
yjadot,1460,89670,2022-01-20
EmmanuelMacron,724,7553142,2022-01-20
n_arthaud,1420,22477,2022-01-20
vpecresse,1504,418756,2022-01-20
ZemmourEric,36,344256,2022-01-20
PhilippePoutou,18,201123,2022-01-20
Anne_Hidalgo,16680,1540539,2022-01-20
MLP_officiel,3259,2662258,2022-01-20
dupontaignan,469,290860,2022-01-20
larrouturou,49334,52050,2022-01-20
ChTaubira,395,827592,2022-01-20
Waechter2022,506,330,2022-01-20
f_philippot,877,317735,2022-01-20
antoine27955080,222,9288,2022-01-20
UPR_Asselineau,749,120682,2022-01-20
JaclineMouraud,532,7974,2022-01-20
jeanlassalle,449,67924,2022-01-20
ClaraEgger1,232,813,2022-01-20
AlexLanglois_,160,20269,2022-01-20
AnasseKazib,1634,60735,2022-01-20
HeleneThouy,508,9085,2022-01-20
Vukuzman,1251,18478,2022-01-20
philippejuvin,964,40381,2022-01-20
DenisPayre,1395,25796,2022-01-20
JLMelenchon,4839,2348762,2022-01-21
Fabien_Roussel,505,47659,2022-01-21
yjadot,1461,89852,2022-01-21
EmmanuelMacron,724,7555525,2022-01-21
n_arthaud,1421,22490,2022-01-21
vpecresse,1504,419190,2022-01-21
ZemmourEric,36,344572,2022-01-21
PhilippePoutou,18,201194,2022-01-21
Anne_Hidalgo,16678,1540578,2022-01-21
MLP_officiel,3272,2662751,2022-01-21
dupontaignan,469,291101,2022-01-21
larrouturou,49352,52041,2022-01-21
ChTaubira,399,827783,2022-01-21
Waechter2022,510,332,2022-01-21
f_philippot,878,318184,2022-01-21
antoine27955080,223,9299,2022-01-21
UPR_Asselineau,749,120839,2022-01-21
JaclineMouraud,532,8035,2022-01-21
jeanlassalle,449,67937,2022-01-21
ClaraEgger1,232,820,2022-01-21
AlexLanglois_,160,20271,2022-01-21
AnasseKazib,1636,60792,2022-01-21
HeleneThouy,508,9126,2022-01-21
Vukuzman,1251,18511,2022-01-21
philippejuvin,964,40377,2022-01-21
DenisPayre,1394,25833,2022-01-21
JLMelenchon,4841,2349239,2022-01-22
Fabien_Roussel,505,48106,2022-01-22
yjadot,1461,89973,2022-01-22
EmmanuelMacron,724,7558030,2022-01-22
n_arthaud,1421,22504,2022-01-22
vpecresse,1504,419520,2022-01-22
ZemmourEric,36,344953,2022-01-22
PhilippePoutou,18,201278,2022-01-22
Anne_Hidalgo,16676,1540685,2022-01-22
MLP_officiel,3273,2663394,2022-01-22
dupontaignan,469,291362,2022-01-22
larrouturou,49370,52046,2022-01-22
ChTaubira,399,827968,2022-01-22
Waechter2022,510,332,2022-01-22
f_philippot,877,318608,2022-01-22
antoine27955080,224,9297,2022-01-22
UPR_Asselineau,749,120970,2022-01-22
JaclineMouraud,532,8101,2022-01-22
jeanlassalle,449,68086,2022-01-22
ClaraEgger1,232,829,2022-01-22
AlexLanglois_,161,20275,2022-01-22
AnasseKazib,1636,60817,2022-01-22
HeleneThouy,510,9163,2022-01-22
Vukuzman,1251,18525,2022-01-22
philippejuvin,964,40384,2022-01-22
DenisPayre,1394,25858,2022-01-22
JLMelenchon,4841,2349799,2022-01-23
Fabien_Roussel,505,48690,2022-01-23
yjadot,1461,90088,2022-01-23
EmmanuelMacron,724,7560397,2022-01-23
n_arthaud,1421,22543,2022-01-23
vpecresse,1504,419915,2022-01-23
ZemmourEric,36,345678,2022-01-23
PhilippePoutou,18,201472,2022-01-23
Anne_Hidalgo,16675,1540755,2022-01-23
MLP_officiel,3273,2663917,2022-01-23
dupontaignan,469,291633,2022-01-23
larrouturou,49381,52051,2022-01-23
ChTaubira,399,828265,2022-01-23
Waechter2022,510,334,2022-01-23
f_philippot,877,319064,2022-01-23
antoine27955080,224,9303,2022-01-23
UPR_Asselineau,749,121157,2022-01-23
JaclineMouraud,532,8185,2022-01-23
jeanlassalle,449,68198,2022-01-23
ClaraEgger1,232,841,2022-01-23
AlexLanglois_,161,20273,2022-01-23
AnasseKazib,1635,60864,2022-01-23
HeleneThouy,511,9262,2022-01-23
Vukuzman,1251,18559,2022-01-23
philippejuvin,964,40395,2022-01-23
DenisPayre,1396,25913,2022-01-23
JLMelenchon,4840,2350476,2022-01-24
Fabien_Roussel,506,49164,2022-01-24
yjadot,1461,90322,2022-01-24
EmmanuelMacron,724,7562949,2022-01-24
n_arthaud,1421,22574,2022-01-24
vpecresse,1504,420453,2022-01-24
ZemmourEric,36,346472,2022-01-24
PhilippePoutou,18,203124,2022-01-24
Anne_Hidalgo,16677,1540865,2022-01-24
MLP_officiel,3273,2664464,2022-01-24
dupontaignan,469,291868,2022-01-24
larrouturou,49406,52074,2022-01-24
ChTaubira,399,828498,2022-01-24
Waechter2022,510,336,2022-01-24
f_philippot,876,319497,2022-01-24
antoine27955080,224,9304,2022-01-24
UPR_Asselineau,749,121365,2022-01-24
JaclineMouraud,532,8221,2022-01-24
jeanlassalle,450,68202,2022-01-24
ClaraEgger1,232,846,2022-01-24
AlexLanglois_,161,20266,2022-01-24
AnasseKazib,1636,61037,2022-01-24
HeleneThouy,511,9304,2022-01-24
Vukuzman,1251,18594,2022-01-24
philippejuvin,964,40402,2022-01-24
DenisPayre,1397,25938,2022-01-24
JLMelenchon,4841,2351161,2022-01-25
Fabien_Roussel,507,49494,2022-01-25
yjadot,1460,90527,2022-01-25
EmmanuelMacron,724,7565500,2022-01-25
n_arthaud,1421,22604,2022-01-25
vpecresse,1504,420864,2022-01-25
ZemmourEric,36,347336,2022-01-25
PhilippePoutou,18,204907,2022-01-25
Anne_Hidalgo,16677,1540948,2022-01-25
MLP_officiel,3273,2664969,2022-01-25
dupontaignan,469,292089,2022-01-25
larrouturou,49409,52103,2022-01-25
ChTaubira,399,828753,2022-01-25
